,ndex,name,points
0,798,Kartana,84.70429687500001
1,384,Rayquaza,78.0837890625
2,386,Deoxys,78.0447265625
3,289,Slaking,75.08671875
4,409,Rampardos,73.0525390625
5,644,Zekrom,72.1091796875
6,486,Regigigas,72.1033203125
7,383,Groudon,68.1228515625
8,795,Pheromosa,65.03203125
9,567,Archeops,62.459375
10,791,Solgaleo,60.29687500000001
11,806,Blacephalon,59.852734375000004
12,716,Xerneas,59.0892578125
13,717,Yveltal,59.0892578125
14,998,Baxcalibur,59.0845703125
15,809,Melmetal,58.5203125
16,646,Kyurem,58.0837890625
17,373,Salamence,58.0740234375
18,612,Haxorus,57.679882812500004
19,896,Glastrier,57.1189453125
20,1006,Iron Valiant,56.0779296875
21,149,Dragonite,55.289648437500006
22,376,Metagross,55.1150390625
23,248,Tyranitar,54.301367187500006
24,483,Dialga,54.1091796875
25,484,Palkia,54.0974609375
26,643,Reshiram,54.0974609375
27,250,Ho-Oh,54.0962890625
28,1007,Koraidon,53.1052734375
29,988,Slither Wing,53.078125
30,482,Azelf,53.0642578125
31,464,Rhyperior,51.108203125
32,534,Conkeldurr,51.0828125
33,645,Landorus,51.0818359375
34,136,Flareon,51.0642578125
35,1005,Roaring Moon,50.271093750000006
36,992,Iron Hands,50.0935546875
37,781,Dhelmise,50.0916015625
38,1002,Chien-Pao,50.07109375
39,794,Buzzwole,49.91484375
40,865,Sirfetch'd,49.6861328125
41,995,Iron Thorns,49.2982421875
42,787,Tapu Bulu,49.104296875
43,901,Ursaluna,49.0935546875
44,430,Honchkrow,49.0466796875
45,493,Arceus,48.1130859375
46,526,Gigalith,48.1111328125
47,888,Zacian,48.108203125
48,889,Zamazenta,48.108203125
49,983,Kingambit,48.10625
50,589,Escavalier,48.0984375
51,649,Genesect,48.088671875
52,445,Garchomp,48.08671875
53,879,Copperajah,48.06328125
54,217,Ursaring,47.069140625
55,905,Enamorus,47.0662109375
56,359,Absol,47.0544921875
57,620,Mienshao,47.0544921875
58,150,Mewtwo,46.8837890625
59,500,Emboar,46.459375
